ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
HashTable(150|chaining|djb2),6000,comparisons,162565.0,5,600.9792,"[162004.0, 162659.0, 162020.0, 163466.0, 162676.0]"
HashTable(150|chaining|djb2),7000,comparisons,222244.0,5,407.48067,"[221898.0, 222339.0, 221954.0, 222905.0, 222124.0]"
HashTable(150|chaining|djb2),8000,comparisons,290678.2,5,428.88833,"[290010.0, 290696.0, 291074.0, 291029.0, 290582.0]"
HashTable(150|chaining|djb2),9000,comparisons,367328.8,5,1311.74262,"[367964.0, 366496.0, 368390.0, 368361.0, 365433.0]"
HashTable(150|chaining|djb2),10000,comparisons,454385.4,5,1234.61362,"[455444.0, 453873.0, 455188.0, 454968.0, 452454.0]"
HashTable(150|chaining|fnv1a),1000,comparisons,5275.6,5,15.85244,"[5257.0, 5284.0, 5267.0, 5272.0, 5298.0]"
HashTable(150|chaining|fnv1a),2000,comparisons,18914.6,5,85.8621,"[19045.0, 18880.0, 18837.0, 18855.0, 18956.0]"
HashTable(150|chaining|fnv1a),3000,comparisons,40530.4,5,260.23989,"[40526.0, 40474.0, 40184.0, 40554.0, 40914.0]"
HashTable(150|chaining|fnv1a),4000,comparisons,72632.2,5,199.84419,"[72829.0, 72455.0, 72406.0, 72828.0, 72643.0]"
HashTable(150|chaining|fnv1a),5000,comparisons,113505.4,5,206.11599,"[113556.0, 113316.0, 113298.0, 113559.0, 113798.0]"
HashTable(150|chaining|fnv1a),6000,comparisons,163979.4,5,517.35655,"[163502.0, 164842.0, 164032.0, 163756.0, 163765.0]"
HashTable(150|chaining|fnv1a),7000,comparisons,221615.6,5,345.77493,"[221187.0, 221320.0, 221963.0, 221892.0, 221716.0]"
HashTable(150|chaining|fnv1a),8000,comparisons,287618.6,5,952.13303,"[287829.0, 289014.0, 287199.0, 286411.0, 287640.0]"
HashTable(150|chaining|fnv1a),9000,comparisons,364604.0,5,1043.20036,"[365277.0, 365367.0, 365184.0, 364285.0, 362907.0]"
HashTable(150|chaining|fnv1a),10000,comparisons,453076.0,5,1376.5059,"[453560.0, 451000.0, 452827.0, 454796.0, 453197.0]"
HashTable(150|chaining|poly31),1000,comparisons,7142.4,5,114.52642,"[7043.0, 7116.0, 7340.0, 7095.0, 7118.0]"
HashTable(150|chaining|poly31),2000,comparisons,28888.4,5,181.23962,"[28817.0, 29150.0, 28775.0, 28995.0, 28705.0]"
HashTable(150|chaining|poly31),3000,comparisons,65012.4,5,284.04718,"[64892.0, 64985.0, 65339.0, 65227.0, 64619.0]"
HashTable(150|chaining|poly31),4000,comparisons,115187.6,5,367.27211,"[115367.0, 115357.0, 114532.0, 115311.0, 115371.0]"
HashTable(150|chaining|poly31),5000,comparisons,177574.6,5,969.67407,"[177142.0, 176593.0, 176922.0, 178764.0, 178452.0]"
HashTable(150|chaining|poly31),6000,comparisons,252307.2,5,362.49441,"[251957.0, 251997.0, 252839.0, 252283.0, 252460.0]"
HashTable(150|chaining|poly31),7000,comparisons,337127.8,5,792.4599,"[335835.0, 337662.0, 337854.0, 337027.0, 337261.0]"
HashTable(150|chaining|poly31),8000,comparisons,432102.6,5,1307.70268,"[432262.0, 433773.0, 432879.0, 430913.0, 430686.0]"
HashTable(150|chaining|poly31),9000,comparisons,536196.2,5,889.31755,"[537262.0, 535355.0, 536537.0, 535191.0, 536636.0]"
HashTable(150|chaining|poly31),10000,comparisons,645693.2,5,1301.81362,"[644043.0, 645791.0, 645174.0, 645826.0, 647632.0]"
HashTable(50|chaining|djb2),1000,comparisons,13244.8,5,79.83546,"[13153.0, 13178.0, 13258.0, 13287.0, 13348.0]"
HashTable(50|chaining|djb2),2000,comparisons,53499.0,5,368.56343,"[53618.0, 53052.0, 53175.0, 53902.0, 53748.0]"
HashTable(50|chaining|djb2),3000,comparisons,120177.2,5,366.01257,"[119908.0, 120154.0, 119806.0, 120280.0, 120738.0]"
HashTable(50|chaining|djb2),4000,comparisons,213895.4,5,1034.54304,"[212757.0, 214918.0, 214189.0, 214765.0, 212848.0]"
HashTable(50|chaining|djb2),5000,comparisons,334856.6,5,971.91502,"[334680.0, 333580.0, 335621.0, 334396.0, 336006.0]"
HashTable(50|chaining|djb2),6000,comparisons,482320.8,5,2581.61949,"[483489.0, 479599.0, 480441.0, 481981.0, 486094.0]"
HashTable(50|chaining|djb2),7000,comparisons,656324.2,5,642.22013,"[655705.0, 657174.0, 655685.0, 656690.0, 656367.0]"
HashTable(50|chaining|djb2),8000,comparisons,857840.8,5,2422.91471,"[859613.0, 858602.0, 858404.0, 858999.0, 853586.0]"
HashTable(50|chaining|djb2),9000,comparisons,1086606.8,5,2652.72562,"[1089649.0, 1084788.0, 1086833.0, 1088573.0, 1083191.0]"
HashTable(50|chaining|djb2),10000,comparisons,1341338.8,5,2783.46658,"[1341253.0, 1339747.0, 1340183.0, 1346154.0, 1339357.0]"
HashTable(50|chaining|fnv1a),1000,comparisons,13648.4,5,135.21021,"[13623.0, 13786.0, 13737.0, 13661.0, 13435.0]"
HashTable(50|chaining|fnv1a),2000,comparisons,53836.0,5,214.46911,"[53905.0, 53477.0, 53957.0, 54024.0, 53817.0]"
